month,shootings,year
1,107,2014
2,52,2014
3,109,2014
4,98,2014
5,129,2014
6,153,2014
7,161,2014
8,169,2014
9,109,2014
10,130,2014
11,107,2014
12,140,2014
1,79,2016
2,74,2016
3,79,2016
4,72,2016
5,108,2016
6,116,2016
7,112,2016
8,184,2016
9,128,2016
10,105,2016
11,77,2016
12,74,2016
1,88,2018
2,41,2018
3,56,2018
4,68,2018
5,98,2018
6,90,2018
7,114,2018
8,91,2018
9,81,2018
10,82,2018
11,71,2018
12,71,2018
1,94,2020
2,51,2020
3,71,2020
4,71,2020
5,138,2020
6,266,2020
7,316,2020
8,312,2020
9,186,2020
10,168,2020
11,138,2020
12,131,2020
